date,open,close,low,high,volume
04/18/2020,97.45,95.75,94.24,97.75,"16,074,776"
04/17/2020,97.45,96.01,94.24,97.75,"16,074,776"
04/16/2020,92.60,96.00,91.14,96.985,"27,036,533"
04/15/2020,90.01,90.94,88.51,91.90,"14,127,998"
04/14/2020,87.00,89.14,86.50,89.537,"9,861,271"
04/13/2020,86.32,85.85,83.52,86.48,"6,665,847"
04/09/2020,85.00,86.04,82.95,86.50,"10,474,717"
04/08/2020,82.50,84.95,81.05,85.39,"9,274,758"
04/07/2020,83.45,81.93,81.7679,84.48,"10,876,057"
04/06/2020,81.08,82.73,79.605,83.12,"12,373,766"
04/03/2020,78.79,79.45,78.18,79.99,"9,139,356"
04/02/2020,76.12,79.44,76.00,79.6565,"10,167,927"
04/01/2020,77.00,76.57,75.35,77.38,"12,208,291"
03/31/2020,81.43,78.91,78.56,81.49,"23,792,287"
03/30/2020,82.83,79.34,78.47,84.40,"47,540,243"
03/27/2020,77.50,74.56,73.612,77.50,"8,360,561"
03/26/2020,71.08,75.81,71.00,75.97,"10,546,005"
03/25/2020,68.95,70.75,68.15,72.6272,"9,351,358"
03/24/2020,64.91,69.69,64.50,69.97,"10,903,740"
03/23/2020,67.07,62.82,61.61,67.49,"13,037,139"
03/20/2020,74.05,68.00,67.95,74.86,"15,131,370"
03/19/2020,81.36,74.50,73.55,81.81,"14,476,030"
03/18/2020,74.98,79.26,74.39,81.99,"17,541,136"
03/17/2020,75.52,79.49,73.34,79.79,"13,315,307"
03/16/2020,70.65,73.66,70.00,79.25,"14,358,968"
03/13/2020,77.91,81.65,74.83,82.67,"18,317,155"
03/12/2020,73.28,74.74,72.01,78.15,"13,876,299"
03/11/2020,78.53,78.09,76.35,79.07,"11,534,362"
03/10/2020,79.23,80.88,75.93,81.00,"9,417,572"
03/09/2020,76.61,77.02,75.10,79.34,"10,284,956"
03/06/2020,78.60,81.74,78.09,82.30,"10,647,883"
03/05/2020,80.29,80.52,79.13,81.47,"9,288,683"
03/04/2020,80.66,82.09,79.46,82.33,"8,660,411"
03/03/2020,81.58,77.99,77.26,83.50,"9,510,566"
03/02/2020,77.88,81.61,77.25,81.68,"11,483,552"
02/28/2020,77.12,77.03,74.02,78.1626,"16,672,979"
02/27/2020,80.40,79.19,79.16,82.03,"8,657,223"
02/26/2020,82.13,81.36,81.11,82.88,"7,380,113"
02/25/2020,84.93,81.13,80.7777,85.37,"7,022,157"
02/24/2020,85.45,84.63,84.07,85.67,"5,667,245"
02/21/2020,88.04,87.45,87.16,88.25,"5,570,994"
02/20/2020,89.10,88.46,88.04,89.56,"3,657,505"
02/19/2020,88.83,89.36,88.69,89.93,"3,464,882"
02/18/2020,89.42,88.88,88.305,89.49,"4,492,281"
02/14/2020,88.87,89.66,88.31,89.71,"3,919,818"
02/13/2020,88.50,88.68,87.70,89.04,"4,448,862"
02/12/2020,89.56,88.79,88.575,89.59,"3,389,518"
02/11/2020,88.64,89.17,88.53,89.41,"2,661,864"
02/10/2020,87.21,88.30,87.21,88.30,"4,219,431"
02/07/2020,89.23,87.87,87.675,89.51,"4,472,282"
02/06/2020,90.00,89.47,89.25,90.08,"4,270,871"
02/05/2020,88.865,89.56,88.55,89.61,"3,565,733"
02/04/2020,88.15,88.23,88.15,89.25,"3,904,607"
02/03/2020,87.78,87.06,86.75,88.40,"4,675,901"
01/31/2020,89.13,87.14,86.90,89.23,"5,914,103"
01/30/2020,88.29,89.16,87.97,89.21,"5,248,070"
01/29/2020,89.61,89.14,89.07,90.23,"3,914,384"
01/28/2020,89.70,89.54,89.39,90.03,"4,983,710"
01/27/2020,89.11,89.59,88.89,89.995,"4,482,196"
