ticker,company,industry,sub_industry,headquarter,url
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",https://www.nyse.com/quote/XNYS:MMM
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",https://www.nyse.com/quote/XNYS:ABT
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",https://www.nyse.com/quote/XNYS:ABBV
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",http://www.nasdaq.com/symbol/abmd
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",https://www.nyse.com/quote/XNYS:ACN
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",http://www.nasdaq.com/symbol/atvi
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",http://www.nasdaq.com/symbol/adbe
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Santa Clara, California",http://www.nasdaq.com/symbol/amd
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",https://www.nyse.com/quote/XNYS:AAP
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",https://www.nyse.com/quote/XNYS:AES
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",https://www.nyse.com/quote/XNYS:AFL
A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",https://www.nyse.com/quote/XNYS:A
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",https://www.nyse.com/quote/XNYS:APD
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",http://www.nasdaq.com/symbol/akam
ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",https://www.nyse.com/quote/XNYS:ALK
ALB,Albemarle Corp,Materials,Specialty Chemicals,"Charlotte, North Carolina",https://www.nyse.com/quote/XNYS:ALB
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",https://www.nyse.com/quote/XNYS:ARE
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",http://www.nasdaq.com/symbol/alxn
ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",http://www.nasdaq.com/symbol/algn
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",https://www.nyse.com/quote/XNYS:ALLE
AGN,"Allergan, plc",Health Care,Pharmaceuticals,"Dublin, Ireland",https://www.nyse.com/quote/XNYS:AGN
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",https://www.nyse.com/quote/XNYS:ADS
LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",https://www.nyse.com/quote/XNYS:LNT
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",https://www.nyse.com/quote/XNYS:ALL
GOOGL,Alphabet Inc Class A,Communication Services,Interactive Media & Services,"Mountain View, California",http://www.nasdaq.com/symbol/googl
GOOG,Alphabet Inc Class C,Communication Services,Interactive Media & Services,"Mountain View, California",http://www.nasdaq.com/symbol/goog
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",https://www.nyse.com/quote/XNYS:MO
